company,location_hq,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in_mil,year,latitude,longitude,mapped_industry,profit_margins,pe_ratio
LearnUpon,Dublin,Ireland,Europe,27,2023-02-07,9.0,300,273,Education,Private Equity …,56.0,2023,53.33306,-6.24889,Other,0.31267793340442784,149.10145341991296
Loggi,Sao Paulo,Brazil,South America,300,2023-02-06,7.0,4286,3986,Logistics,Series F,507.0,2023,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
Lightico,Tel Aviv,Israel,Asia,20,2023-02-05,25.0,80,60,Finance,Series B,42.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Eightfold AI,San Francisco Bay Area,USA,North America,90,2023-02-03,15.0,600,510,HR,Series E,396.0,2023,37.35411,-121.95524,HR,0.06034258863211765,164.1777929426829
Okta,San Francisco Bay Area,USA,North America,300,2023-02-02,5.0,6000,5700,Security,Post-IPO,1200.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Highspot,Seattle,USA,North America,100,2023-02-02,10.0,1000,900,Sales,Series F,644.0,2023,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Splunk,San Francisco Bay Area,USA,North America,325,2023-02-01,4.0,8125,7800,Data,Post-IPO,2400.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
DraftKings,Boston,USA,North America,140,2023-02-01,4.0,3500,3360,Consumer,Post-IPO,719.0,2023,42.35843,-71.05977,Consumer,0.17082623261628355,113.24898568126481
Wheel,Austin,USA,North America,56,2023-02-01,28.0,200,144,Healthcare,Series C,215.0,2023,30.26715,-97.74306,Healthcare,0.5421634367891365,286.19442704934613
Chainalysis,New York City,USA,North America,44,2023-02-01,5.0,880,836,Crypto,Series F,536.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Exterro,Portland,USA,North America,24,2023-02-01,3.0,800,776,Legal,Private Equity …,100.0,2023,45.52345,-122.67621,Other,0.31267793340442784,149.10145341991296
TheSkimm,New York City,USA,North America,17,2023-02-01,10.0,170,153,Media,Series C,28.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
PayPal,San Francisco Bay Area,USA,North America,2000,2023-01-31,7.0,28571,26571,Finance,Post-IPO,216.0,2023,37.33939,-121.89496,Other,0.31267793340442784,149.10145341991296
Workday,San Francisco Bay Area,USA,North America,525,2023-01-31,3.0,17500,16975,HR,Post-IPO,230.0,2023,37.66243,-121.87468,HR,0.06034258863211765,164.1777929426829
HubSpot,Boston,USA,North America,500,2023-01-31,7.0,7143,6643,Marketing,Post-IPO,100.0,2023,42.35843,-71.05977,Retail,0.04584106071309091,193.58928577969698
Upstart,San Francisco Bay Area,USA,North America,365,2023-01-31,20.0,1825,1460,Finance,Post-IPO,144.0,2023,37.56299,-122.32553,Other,0.31267793340442784,149.10145341991296
Software AG,Frankfurt,Germany,Europe,200,2023-01-31,4.0,5000,4800,Data,Post-IPO,344.0,2023,50.11552,8.68417,Other,0.31267793340442784,149.10145341991296
Wish,San Francisco Bay Area,USA,North America,150,2023-01-31,17.0,882,732,Retail,Post-IPO,1600.0,2023,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Arrival,London,United Kingdom,Europe,800,2023-01-30,50.0,1600,800,Transportation,Post-IPO,629.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Glovo,Barcelona,Spain,Europe,250,2023-01-30,6.0,4167,3917,Food,Acquired,1200.0,2023,41.38879,2.15899,Consumer,0.17082623261628355,113.24898568126481
Delivery Hero,Berlin,Germany,Europe,156,2023-01-30,4.0,3900,3744,Food,Post-IPO,9900.0,2023,52.52437,13.41053,Consumer,0.17082623261628355,113.24898568126481
Impossible Foods,San Francisco Bay Area,USA,North America,140,2023-01-30,20.0,700,560,Food,Series H,1900.0,2023,37.48522,-122.23635,Consumer,0.17082623261628355,113.24898568126481
Chrono24,Karlsruhe,Germany,Europe,65,2023-01-30,13.0,500,435,Retail,Series C,205.0,2023,49.00937,8.40444,Consumer,0.17082623261628355,113.24898568126481
DealShare,Bengaluru,India,Asia,100,2023-01-27,6.0,1667,1567,Retail,Series E,390.0,2023,12.97194,77.59369,Consumer,0.17082623261628355,113.24898568126481
Matrixport,Singapore,Singapore,Asia,29,2023-01-27,10.0,290,261,Crypto,Series C,100.0,2023,1.28967,103.85007,Other,0.31267793340442784,149.10145341991296
Shakepay,Montreal,Canada,North America,21,2023-01-27,25.0,84,63,Crypto,Series A,45.0,2023,45.50884,-73.58781,Other,0.31267793340442784,149.10145341991296
#Paid,Toronto,Canada,North America,19,2023-01-27,17.0,112,93,Marketing,Series B,21.0,2023,43.70643,-79.39864,Retail,0.04584106071309091,193.58928577969698
Confluent,San Francisco Bay Area,USA,North America,221,2023-01-26,8.0,2763,2542,Data,Post-IPO,455.0,2023,37.38605,-122.08385,Other,0.31267793340442784,149.10145341991296
Luno,London,United Kingdom,Europe,330,2023-01-25,35.0,943,613,Crypto,Acquired,13.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Guardant Health,San Francisco Bay Area,USA,North America,130,2023-01-25,7.0,1857,1727,Healthcare,Post-IPO,550.0,2023,37.44188,-122.14302,Healthcare,0.5421634367891365,286.19442704934613
SirionLabs,Seattle,USA,North America,130,2023-01-25,15.0,867,737,Legal,Series D,171.0,2023,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Tier Mobility,Berlin,Germany,Europe,80,2023-01-25,7.0,1143,1063,Transportation,Series D,646.0,2023,52.52437,13.41053,Other,0.31267793340442784,149.10145341991296
Vacasa,Portland,USA,North America,1300,2023-01-24,17.0,7647,6347,Travel,Post-IPO,834.0,2023,45.52345,-122.67621,Other,0.31267793340442784,149.10145341991296
Innovaccer,San Francisco Bay Area,USA,North America,245,2023-01-24,15.0,1633,1388,Healthcare,Series E,379.0,2023,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
Bolt,San Francisco Bay Area,USA,North America,50,2023-01-24,10.0,500,450,Finance,Series E,1300.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
PartnerStack,Toronto,Canada,North America,40,2023-01-24,20.0,200,160,Sales,Series B,36.0,2023,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
Gitpod,Kiel,Germany,Europe,21,2023-01-24,28.0,75,54,Product,Series A,41.0,2023,54.32133,10.13489,Other,0.31267793340442784,149.10145341991296
Spotify,Stockholm,Sweden,Europe,600,2023-01-23,6.0,10000,9400,Media,Post-IPO,2100.0,2023,59.32938,18.06871,Other,0.31267793340442784,149.10145341991296
Uber Freight,San Francisco Bay Area,USA,North America,150,2023-01-23,3.0,5000,4850,Logistics,Subsidi…,2700.0,2023,37.77493,-122.36608,Other,0.31267793340442784,149.10145341991296
Innovid,New York City,USA,North America,40,2023-01-23,10.0,400,360,Marketing,Post-IPO,295.0,2023,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Ermetic,San Francisco Bay Area,USA,North America,30,2023-01-23,17.0,176,146,Security,Series B,97.0,2023,37.44188,-122.14302,Other,0.31267793340442784,149.10145341991296
Namogoo,Tel Aviv,Israel,Asia,20,2023-01-23,15.0,133,113,Marketing,Series C,69.0,2023,32.08088,34.78057,Retail,0.04584106071309091,193.58928577969698
Google,San Francisco Bay Area,USA,North America,12000,2023-01-20,6.0,200000,188000,Consumer,Post-IPO,26.0,2023,37.38605,-122.08385,Consumer,0.17082623261628355,113.24898568126481
Wayfair,Boston,USA,North America,1750,2023-01-20,10.0,17500,15750,Retail,Post-IPO,1700.0,2023,42.35843,-71.05977,Consumer,0.17082623261628355,113.24898568126481
MediBuddy,Bengaluru,India,Asia,200,2023-01-20,8.0,2500,2300,Healthcare,Acquired,192.0,2023,12.97194,77.59369,Healthcare,0.5421634367891365,286.19442704934613
Vox Media,Washington DC,USA,North America,130,2023-01-20,7.0,1857,1727,Media,Series F,307.0,2023,38.89511,-77.03637,Other,0.31267793340442784,149.10145341991296
Citrine Informatics,San Francisco Bay Area,USA,North America,22,2023-01-20,27.0,81,59,Data,Series C,64.0,2023,37.48522,-122.23635,Other,0.31267793340442784,149.10145341991296
CS Disco,Austin,USA,North America,62,2023-01-19,9.0,689,627,Legal,Post-IPO,233.0,2023,30.26715,-97.74306,Other,0.31267793340442784,149.10145341991296
Sophos,Oxford,United Kingdom,Europe,450,2023-01-18,10.0,4500,4050,Security,Acquired,125.0,2023,51.75222,-1.25596,Other,0.31267793340442784,149.10145341991296
Teladoc Health,New York City,USA,North America,300,2023-01-18,6.0,5000,4700,Healthcare,Post-IPO,172.0,2023,40.71427,-74.00597,Healthcare,0.5421634367891365,286.19442704934613
Vroom,New York City,USA,North America,275,2023-01-18,20.0,1375,1100,Transportation,Post-IPO,1300.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
8x8,San Francisco Bay Area,USA,North America,155,2023-01-18,7.0,2214,2059,Support,Post-IPO,253.0,2023,37.28717,-121.9499,Other,0.31267793340442784,149.10145341991296
Pagaya,New York City,USA,North America,140,2023-01-18,20.0,700,560,Finance,Post-IPO,571.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Inspirato,Denver,USA,North America,109,2023-01-18,12.0,908,799,Travel,Post-IPO,179.0,2023,39.73915,-104.9847,Other,0.31267793340442784,149.10145341991296
Jumpcloud,Boulder,USA,North America,100,2023-01-18,12.0,833,733,Security,Series F,416.0,2023,40.01499,-105.27055,Other,0.31267793340442784,149.10145341991296
nCino,Wilmington,USA,North America,100,2023-01-18,7.0,1429,1329,Finance,Post-IPO,1100.0,2023,34.23556,-77.94604,Other,0.31267793340442784,149.10145341991296
Hootsuite,Vancouver,Canada,North America,70,2023-01-18,7.0,1000,930,Marketing,Series C,300.0,2023,49.24966,-123.11934,Retail,0.04584106071309091,193.58928577969698
Addepar,San Francisco Bay Area,USA,North America,20,2023-01-18,3.0,667,647,Finance,Series F,491.0,2023,37.38605,-122.08385,Other,0.31267793340442784,149.10145341991296
Lightspeed Company,Montreal,Canada,North America,300,2023-01-17,10.0,3000,2700,Retail,Post-IPO,1200.0,2023,45.50884,-73.58781,Consumer,0.17082623261628355,113.24898568126481
Exotel,Bengaluru,India,Asia,142,2023-01-17,15.0,947,805,Support,Series D,87.0,2023,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
ShareChat,Bengaluru,India,Asia,500,2023-01-16,20.0,2500,2000,Consumer,Series H,1700.0,2023,12.97194,77.59369,Consumer,0.17082623261628355,113.24898568126481
ClearCo,Toronto,Canada,North America,50,2023-01-16,30.0,167,117,Finance,Series C,698.0,2023,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
Snappy,New York City,USA,North America,100,2023-01-15,30.0,333,233,Marketing,Series C,104.0,2023,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
BharatAgri,Mumbai,India,Asia,40,2023-01-15,43.0,93,53,Food,Series A,21.0,2023,19.07283,72.88261,Consumer,0.17082623261628355,113.24898568126481
Lending Club,San Francisco Bay Area,USA,North America,225,2023-01-12,14.0,1607,1382,Finance,Post-IPO,392.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
SmartNews,Tokyo,Japan,Asia,120,2023-01-12,40.0,300,180,Media,Series F,410.0,2023,35.6895,139.69171,Other,0.31267793340442784,149.10145341991296
Pier,Sao Paulo,Brazil,South America,111,2023-01-12,39.0,285,174,Finance,Series B,42.0,2023,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
Blockchain.com,London,United Kingdom,Europe,110,2023-01-12,28.0,393,283,Crypto,Series D,490.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Lattice,San Francisco Bay Area,USA,North America,105,2023-01-12,15.0,700,595,HR,Series F,328.0,2023,37.77493,-122.41942,HR,0.06034258863211765,164.1777929426829
Greenlight,Atlanta,USA,North America,104,2023-01-12,21.0,495,391,Finance,Series D,556.0,2023,33.749,-84.38798,Other,0.31267793340442784,149.10145341991296
Akili Labs,Boston,USA,North America,46,2023-01-12,30.0,153,107,Healthcare,Post-IPO,301.0,2023,42.35843,-71.05977,Healthcare,0.5421634367891365,286.19442704934613
Flexport,San Francisco Bay Area,USA,North America,640,2023-01-11,20.0,3200,2560,Logistics,Series E,2400.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Tipalti,San Francisco Bay Area,USA,North America,123,2023-01-11,11.0,1118,995,Finance,Series F,565.0,2023,37.55855,-122.27108,Other,0.31267793340442784,149.10145341991296
Jumio,San Francisco Bay Area,USA,North America,100,2023-01-11,6.0,1667,1567,Security,Private Equity …,205.0,2023,37.36883,-122.03635,Other,0.31267793340442784,149.10145341991296
Coinbase,San Francisco Bay Area,USA,North America,950,2023-01-10,20.0,4750,3800,Crypto,Post-IPO,549.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Blend,San Francisco Bay Area,USA,North America,340,2023-01-10,28.0,1214,874,Finance,Post-IPO,665.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
ConsenSys,New York City,USA,North America,100,2023-01-10,11.0,909,809,Crypto,Series D,726.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
ForeScout,Tel Aviv,Israel,Asia,100,2023-01-10,10.0,1000,900,Security,Acquired,125.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Thinkific,Vancouver,Canada,North America,76,2023-01-10,19.0,400,324,Education,Post-IPO,22.0,2023,49.24966,-123.11934,Other,0.31267793340442784,149.10145341991296
Parler,Nashville,USA,North America,60,2023-01-10,75.0,80,20,Consumer,Series B,36.0,2023,36.16589,-86.78444,Consumer,0.17082623261628355,113.24898568126481
GoBolt,Toronto,Canada,North America,55,2023-01-10,5.0,1100,1045,Logistics,Series C,178.0,2023,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
StreamElements,Tel Aviv,Israel,Asia,40,2023-01-10,20.0,200,160,Media,Series B,111.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Fate Therapeutics,San Diego,USA,North America,315,2023-01-09,57.0,553,238,Healthcare,Post-IPO,1200.0,2023,32.71571,-117.16472,Healthcare,0.5421634367891365,286.19442704934613
Minute Media,London,United Kingdom,Europe,50,2023-01-08,10.0,500,450,Media,Series I,160.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Bounce,Bengaluru,India,Asia,40,2023-01-06,5.0,800,760,Transportation,Series D,214.0,2023,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Socure,Reno,USA,North America,104,2023-01-05,19.0,547,443,Finance,Series E,646.0,2023,39.52963,-119.8138,Other,0.31267793340442784,149.10145341991296
Moglix,Singapore,Singapore,Asia,40,2023-01-05,2.0,2000,1960,Retail,Series F,472.0,2023,1.28967,103.85007,Consumer,0.17082623261628355,113.24898568126481
Pecan AI,Tel Aviv,Israel,Asia,30,2023-01-05,25.0,120,90,Data,Series C,116.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Personetics,New York City,USA,North America,30,2023-01-05,8.0,375,345,Support,Private Equity …,178.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
UpScalio,Gurugram,India,Asia,25,2023-01-05,15.0,167,142,Retail,Series B,62.0,2023,28.4601,77.02635,Consumer,0.17082623261628355,113.24898568126481
Amazon,Seattle,USA,North America,8000,2023-01-04,2.0,400000,392000,Retail,Post-IPO,108.0,2023,47.60621,-122.33207,Consumer,0.17082623261628355,113.24898568126481
SaleSan Franciscoorce,San Francisco Bay Area,USA,North America,8000,2023-01-04,10.0,80000,72000,Sales,Post-IPO,65.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Astronomer,Cincinnati,USA,North America,76,2023-01-04,20.0,380,304,Data,Series C,282.0,2023,39.12711,-84.51439,Other,0.31267793340442784,149.10145341991296
Kaltura,New York City,USA,North America,75,2023-01-04,11.0,682,607,Media,Post-IPO,166.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Augury,New York City,USA,North America,20,2023-01-04,5.0,400,380,Manufacturing,Series E,274.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Uniphore,San Francisco Bay Area,USA,North America,76,2023-01-03,10.0,760,684,Support,Series E,620.0,2023,37.44188,-122.14302,Other,0.31267793340442784,149.10145341991296
Micron,Boise,USA,North America,4800,2023-01-01,10.0,48000,43200,Hardware,Post-IPO,50.0,2023,43.6135,-116.20345,Other,0.31267793340442784,149.10145341991296
Back Market,Paris,France,Europe,93,2022-12-23,13.0,715,622,Retail,Series E,1000.0,2022,48.85341,2.3488,Consumer,0.17082623261628355,113.24898568126481
TuSimple,San Diego,USA,North America,350,2022-12-21,25.0,1400,1050,Transportation,Post-IPO,648.0,2022,32.71571,-117.16472,Other,0.31267793340442784,149.10145341991296
Chope,Singapore,Singapore,Asia,65,2022-12-20,24.0,271,206,Food,Series E,50.0,2022,1.28967,103.85007,Consumer,0.17082623261628355,113.24898568126481
Briza,Toronto,Canada,North America,26,2022-12-20,40.0,65,39,Finance,Series A,10.0,2022,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
Homebot,Denver,USA,North America,18,2022-12-19,13.0,138,120,Real Estate,Acquired,4.0,2022,39.73915,-104.9847,Real Estate,0.30273994137013177,187.5233707675104
Revelate,Montreal,Canada,North America,24,2022-12-16,30.0,80,56,Data,Series A,26.0,2022,45.50884,-73.58781,Other,0.31267793340442784,149.10145341991296
BigCommerce,Austin,USA,North America,180,2022-12-15,13.0,1385,1205,Retail,Post-IPO,224.0,2022,30.26715,-97.74306,Consumer,0.17082623261628355,113.24898568126481
Freshworks,San Francisco Bay Area,USA,North America,90,2022-12-15,2.0,4500,4410,Support,Post-IPO,484.0,2022,37.56299,-122.32553,Other,0.31267793340442784,149.10145341991296
Workmotion,Berlin,Germany,Europe,60,2022-12-15,20.0,300,240,HR,Series B,76.0,2022,52.52437,13.41053,HR,0.06034258863211765,164.1777929426829
JD.ID,Jakarta,Indonesia,Asia,200,2022-12-14,30.0,667,467,Retail,Post-IPO,5100.0,2022,-6.21462,106.84513,Consumer,0.17082623261628355,113.24898568126481
ChowNow,Los Angeles,USA,North America,40,2022-12-14,10.0,400,360,Food,Series C,64.0,2022,34.05223,-118.24368,Consumer,0.17082623261628355,113.24898568126481
Thumbtack,San Francisco Bay Area,USA,North America,160,2022-12-13,14.0,1143,983,Consumer,Series I,698.0,2022,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Edgio,Phoenix,USA,North America,95,2022-12-13,10.0,950,855,Infrastructure,Post-IPO,462.0,2022,33.44838,-112.07404,Other,0.31267793340442784,149.10145341991296
Komodo Health,San Francisco Bay Area,USA,North America,78,2022-12-13,9.0,867,789,Healthcare,Series E,514.0,2022,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
Pluralsight,Salt Lake City,USA,North America,400,2022-12-12,20.0,2000,1600,Education,Acquired,192.0,2022,40.76078,-111.89105,Other,0.31267793340442784,149.10145341991296
Outschool,San Francisco Bay Area,USA,North America,43,2022-12-10,25.0,172,129,Education,Series D,240.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Xentral,Munich,Germany,Europe,20,2022-12-10,10.0,200,180,Product,Series B,94.0,2022,48.13743,11.57549,Other,0.31267793340442784,149.10145341991296
Alice,Sao Paulo,Brazil,South America,113,2022-12-09,16.0,706,593,Healthcare,Series C,174.0,2022,-23.5475,-46.63611,Healthcare,0.5421634367891365,286.19442704934613
Primer,London,United Kingdom,Europe,85,2022-12-09,33.0,258,173,Finance,Series B,73.0,2022,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
OneFootball,Berlin,Germany,Europe,62,2022-12-09,12.0,517,455,Marketing,Series D,442.0,2022,52.52437,13.41053,Retail,0.04584106071309091,193.58928577969698
C2FO,Kansas City,USA,North America,20,2022-12-09,2.0,1000,980,Finance,Series H,537.0,2022,39.09973,-94.57857,Other,0.31267793340442784,149.10145341991296
Airtable,San Francisco Bay Area,USA,North America,254,2022-12-08,20.0,1270,1016,Product,Series F,1400.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Glints,Singapore,Singapore,Asia,198,2022-12-08,18.0,1100,902,HR,Series D,82.0,2022,1.28967,103.85007,HR,0.06034258863211765,164.1777929426829
Buser,Sao Paulo,Brazil,South America,160,2022-12-08,30.0,533,373,Transportation,Series C,138.0,2022,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
BlackLine,Los Angeles,USA,North America,95,2022-12-08,5.0,1900,1805,Finance,Private Equity …,220.0,2022,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
Otonomo,Tel Aviv,Israel,Asia,80,2022-12-08,50.0,160,80,Transportation,Post-IPO,231.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
TechTarget,Boston,USA,North America,60,2022-12-08,5.0,1200,1140,Marketing,Post-IPO,115.0,2022,42.35843,-71.05977,Retail,0.04584106071309091,193.58928577969698
CyCognito,San Francisco Bay Area,USA,North America,30,2022-12-08,15.0,200,170,Security,Series C,153.0,2022,37.44188,-122.14302,Other,0.31267793340442784,149.10145341991296
Armis,San Francisco Bay Area,USA,North America,25,2022-12-08,4.0,625,600,Security,Private Equity …,537.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Plaid,San Francisco Bay Area,USA,North America,260,2022-12-07,20.0,1300,1040,Finance,Series D,734.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Motive,San Francisco Bay Area,USA,North America,237,2022-12-07,6.0,3950,3713,Transportation,Series F,567.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Relativity,Chicago,USA,North America,150,2022-12-07,10.0,1500,1350,Legal,Private Equity …,125.0,2022,41.85003,-87.65005,Other,0.31267793340442784,149.10145341991296
Voi,Stockholm,Sweden,Europe,130,2022-12-07,13.0,1000,870,Transportation,Series D,515.0,2022,59.32938,18.06871,Other,0.31267793340442784,149.10145341991296
Integral Ad Science,New York City,USA,North America,120,2022-12-07,13.0,923,803,Marketing,Acquired,116.0,2022,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Houzz,San Francisco Bay Area,USA,North America,95,2022-12-07,8.0,1188,1093,Consumer,Series E,613.0,2022,37.44188,-122.14302,Consumer,0.17082623261628355,113.24898568126481
Lev,New York City,USA,North America,30,2022-12-07,30.0,100,70,Real Estate,Series B,114.0,2022,40.71427,-74.00597,Real Estate,0.30273994137013177,187.5233707675104
Lithic,New York City,USA,North America,27,2022-12-07,18.0,150,123,Finance,Series C,115.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Doma,San Francisco Bay Area,USA,North America,515,2022-12-06,40.0,1288,773,Finance,Post-IPO,679.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
BuzzFeed,New York City,USA,North America,180,2022-12-06,12.0,1500,1320,Media,Post-IPO,696.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Chipper Cash,San Francisco Bay Area,USA,North America,50,2022-12-06,13.0,385,335,Finance,Series C,302.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Perimeter 81,Tel Aviv,Israel,Asia,20,2022-12-06,8.0,250,230,Security,Series C,165.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Bridgit,Waterloo,Canada,North America,13,2022-12-06,13.0,100,87,Construction,Series B,36.0,2022,43.4668,-80.51639,Other,0.31267793340442784,149.10145341991296
Aqua Security,Boston,USA,North America,65,2022-12-05,10.0,650,585,Security,Series E,265.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
DataRails,Tel Aviv,Israel,Asia,30,2022-12-05,18.0,167,137,Finance,Series B,103.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Polly,Burlington,USA,North America,47,2022-12-02,15.0,313,266,Finance,Series C,184.0,2022,44.47588,-73.21207,Other,0.31267793340442784,149.10145341991296
Carousell,Singapore,Singapore,Asia,110,2022-12-01,10.0,1100,990,Retail,Private Equity …,372.0,2022,1.28967,103.85007,Consumer,0.17082623261628355,113.24898568126481
Bizzabo,New York City,USA,North America,100,2022-12-01,37.0,270,170,Marketing,Series E,194.0,2022,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Netlify,San Francisco Bay Area,USA,North America,48,2022-12-01,16.0,300,252,Product,Series D,212.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Springbig,Miami,USA,North America,37,2022-12-01,23.0,161,124,Sales,Post-IPO,32.0,2022,25.77427,-80.19366,Other,0.31267793340442784,149.10145341991296
DoorDash,San Francisco Bay Area,USA,North America,1250,2022-11-30,6.0,20833,19583,Food,Post-IPO,2500.0,2022,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Happy Money,Los Angeles,USA,North America,158,2022-11-30,34.0,465,307,Finance,Series D,191.0,2022,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
Ula,Jakarta,Indonesia,Asia,134,2022-11-30,23.0,583,449,Retail,Series B,140.0,2022,-6.21462,106.84513,Consumer,0.17082623261628355,113.24898568126481
Wonder,New York City,USA,North America,130,2022-11-30,7.0,1857,1727,Food,Series B,850.0,2022,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Grin,Sacramento,USA,North America,60,2022-11-30,13.0,462,402,Marketing,Series B,145.0,2022,38.58157,-121.4944,Retail,0.04584106071309091,193.58928577969698
Ualá,Buenos Aires,Argentina,South America,53,2022-11-30,3.0,1767,1714,Finance,Series D,544.0,2022,-34.61315,-58.37723,Other,0.31267793340442784,149.10145341991296
Teachmint,Bengaluru,India,Asia,45,2022-11-30,5.0,900,855,Education,Series B,118.0,2022,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Thread,London,United Kingdom,Europe,30,2022-11-30,50.0,60,30,Retail,Acquired,40.0,2022,51.50853,-0.12574,Consumer,0.17082623261628355,113.24898568126481
ApplyBoard,Waterloo,Canada,North America,90,2022-11-28,6.0,1500,1410,Education,Series D,483.0,2022,43.4668,-80.51639,Other,0.31267793340442784,149.10145341991296
Candy Digital,New York City,USA,North America,33,2022-11-28,33.0,100,67,Crypto,Series A,100.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
VerSe Innovation,Bengaluru,India,Asia,150,2022-11-25,5.0,3000,2850,Media,Series J,1700.0,2022,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Vendease,Lagos,Nigeria,Africa,27,2022-11-25,9.0,300,273,Food,Series A,43.0,2022,6.45407,3.39467,Consumer,0.17082623261628355,113.24898568126481
Lemon,Buenos Aires,Argentina,South America,100,2022-11-24,38.0,263,163,Crypto,Series A,17.0,2022,-34.61315,-58.37723,Other,0.31267793340442784,149.10145341991296
SIRCLO,Jakarta,Indonesia,Asia,160,2022-11-22,8.0,2000,1840,Retail,Series B,92.0,2022,-6.21462,106.84513,Consumer,0.17082623261628355,113.24898568126481
Trax,Singapore,Singapore,Asia,80,2022-11-22,8.0,1000,920,Retail,Series E,1000.0,2022,1.28967,103.85007,Consumer,0.17082623261628355,113.24898568126481
Jumia,Lagos,Nigeria,Africa,900,2022-11-21,20.0,4500,3600,Retail,Post-IPO,1200.0,2022,6.45407,3.39467,Consumer,0.17082623261628355,113.24898568126481
Kitopi,Dubai,United Arabian Emirates,Asia,93,2022-11-21,10.0,930,837,Food,Series C,804.0,2022,25.07725,55.30927,Consumer,0.17082623261628355,113.24898568126481
